(S000040, S000028)
(S000040, S000033)
(S000040, S000034)
(S000040, S000062)
(S000040, S000146)
(S000040, S000147)
(S000040, S000148)
(S000040, S000158)
(S000040, S000198)
(S000040, S000202)
(S000040, S000210)
(S000107, S000205)
(S000168, S000205)
(S000169, S000205)
(S000176, S000205)
(S000201, S000170)
(S000210, S000002)
(S000210, S000020)
(S000210, S000025)
(S000210, S000026)
(S000210, S000027)
(S000210, S000028)
(S000210, S000033)
(S000210, S000034)
(S000210, S000062)
(S000210, S000146)
(S000210, S000147)
(S000210, S000148)
(S000210, S000158)
(S000210, S000198)
(S000210, S000202)
(S000113, S000002)
(S000113, S000020)
(S000113, S000025)
(S000113, S000026)
(S000113, S000027)
(S000113, S000028)
(S000113, S000033)
(S000113, S000034)
(S000113, S000062)
(S000113, S000146)
(S000113, S000147)
(S000113, S000148)
(S000113, S000158)
(S000113, S000198)
(S000113, S000202)
(S000113, S000210)
(S000065, S000002)
(S000065, S000020)
(S000065, S000025)
(S000065, S000026)
(S000065, S000027)
(S000065, S000028)
(S000065, S000033)
(S000065, S000034)
(S000065, S000062)
(S000065, S000146)
(S000065, S000147)
(S000065, S000148)
(S000065, S000158)
(S000065, S000198)
(S000065, S000202)
(S000065, S000210)
(S000039, S000002)
(S000039, S000020)
(S000039, S000025)
(S000039, S000026)
(S000039, S000027)
(S000039, S000028)
(S000039, S000033)
(S000039, S000034)
(S000039, S000038)
(S000039, S000062)
(S000039, S000146)
(S000039, S000147)
(S000039, S000148)
(S000039, S000158)
(S000039, S000198)
(S000039, S000202)
(S000039, S000210)
(S000097, S000002)
(S000097, S000131)
(S000182, S000027)
(S000177, S000178)
(S000123, S000124)
(S000209, S000083)
(S000018, S000002)
(S000018, S000017)
(S000018, S000189)
(S000044, S000199)
(S000044, S000194)
(S000038, S000153)
(S000039, S000153)
(S000040, S000153)
(S000173, S000153)
(S000085, S000084)
(S000084, S000083)
(S000085, S000083)
(S000154, S000020)
(S000050, S000002)
(S000050, S000027)
(S000050, S000189)
(S000193, S000190)
(S000044, S000190)
(S000194, S000190)
(S000005, S000190)
(S000006, S000002)
(S000006, S000189)
(S000006, S000190)
(S000006, S000194)
(S000046, S000190)
(S000006, S000193)
(S000044, S000193)
(S000194, S000193)
(S000046, S000193)
(S000046, S000194)
(S000024, S000002)
(S000041, S000002)
(S000024, S000002)
(S000041, S000002)
(S000081, S000002)
(S000082, S000002)
(S000095, S000002)
(S000099, S000002)
(S000141, S000002)
(S000180, S000002)
(S000207, S000002)
(S000212, S000002)
(S000082, S000189)
(S000014, S000013)
(S000024, S000003)
(S000024, S000020)
(S000024, S000154)
(S000041, S000003)
(S000103, S000003)
(S000104, S000003)
(S000173, S000003)
(S000082, S000003)
(S000095, S000003)
(S000095, S000020)
(S000095, S000025)
(S000095, S000026)
(S000095, S000027)
(S000095, S000028)
(S000095, S000033)
(S000095, S000034)
(S000095, S000062)
(S000095, S000146)
(S000095, S000147)
(S000095, S000148)
(S000095, S000158)
(S000095, S000170)
(S000095, S000198)
(S000095, S000202)
(S000095, S000210)
(S000186, S000002)
(S000186, S000097)
(S000186, S000131)
(S000103, S000112)
(S000103, S000113)
(S000103, S000114)
(S000103, S000115)
(S000103, S000116)
(S000103, S000117)
(S000103, S000119)
(S000103, S000125)
(S000103, S000126)
(S000103, S000170)
(S000103, S000176)
(S000103, S000201)
(S000103, S000205)
(S000104, S000112)
(S000104, S000113)
(S000104, S000114)
(S000104, S000115)
(S000104, S000116)
(S000104, S000117)
(S000104, S000119)
(S000104, S000125)
(S000104, S000126)
(S000104, S000170)
(S000104, S000176)
(S000104, S000201)
(S000104, S000205)
(S000173, S000112)
(S000173, S000113)
(S000173, S000114)
(S000173, S000115)
(S000173, S000116)
(S000173, S000117)
(S000173, S000119)
(S000173, S000125)
(S000173, S000126)
(S000173, S000170)
(S000173, S000176)
(S000173, S000201)
(S000173, S000205)
(S000009, S000007)
(S000009, S000008)
(S000008, S000007)
(S000045, S000007)
(S000046, S000007)
(S000152, S000144)
(S000144, S000007)
(S000152, S000007)
(S000048, S000015)
(S000048, S000189)
(S000048, S000007)
(S000213, S000007)
(S000051, S000007)
(S000049, S000007)
(S000049, S000002)
(S000049, S000189)
(S000049, S000008)
(S000049, S000047)
(S000049, S000188)
(S000047, S000188)
(S000082, S000047)
(S000082, S000188)
(S000012, S000011)
(S000013, S000011)
(S000013, S000012)
(S000014, S000011)
(S000014, S000012)
(S000050, S000011)
(S000050, S000012)
(S000027, S000020)
(S000029, S000020)
(S000031, S000020)
(S000050, S000020)
(S000146, S000020)
(S000182, S000020)
(S000028, S000020)
(S000077, S000020)
(S000033, S000020)
(S000034, S000020)
(S000035, S000020)
(S000036, S000020)
(S000037, S000020)
(S000181, S000020)
(S000218, S000020)
(S000027, S000033)
(S000029, S000033)
(S000031, S000033)
(S000050, S000033)
(S000146, S000033)
(S000182, S000033)
(S000027, S000034)
(S000029, S000034)
(S000031, S000034)
(S000050, S000034)
(S000146, S000034)
(S000182, S000034)
(S000028, S000027)
(S000028, S000033)
(S000028, S000034)
(S000077, S000027)
(S000077, S000033)
(S000077, S000034)
(S000030, S000032)
(S000032, S000030)
(S000103, S000030)
(S000104, S000030)
(S000173, S000030)
(S000032, S000113)
(S000030, S000075)
(S000030, S000112)
(S000030, S000114)
(S000030, S000115)
(S000030, S000116)
(S000030, S000117)
(S000030, S000119)
(S000030, S000120)
(S000030, S000125)
(S000030, S000126)
(S000030, S000127)
(S000030, S000168)
(S000030, S000169)
(S000030, S000170)
(S000030, S000176)
(S000030, S000201)
(S000030, S000205)
(S000032, S000075)
(S000032, S000112)
(S000032, S000114)
(S000032, S000115)
(S000032, S000116)
(S000032, S000117)
(S000032, S000119)
(S000032, S000120)
(S000032, S000125)
(S000032, S000126)
(S000032, S000127)
(S000032, S000168)
(S000032, S000169)
(S000032, S000170)
(S000032, S000176)
(S000032, S000201)
(S000032, S000205)
(S000103, S000075)
(S000103, S000120)
(S000103, S000127)
(S000103, S000168)
(S000103, S000169)
(S000104, S000075)
(S000104, S000120)
(S000104, S000127)
(S000104, S000168)
(S000104, S000169)
(S000173, S000075)
(S000173, S000120)
(S000173, S000127)
(S000173, S000168)
(S000173, S000169)
(S000030, S000121)
(S000032, S000121)
(S000103, S000121)
(S000104, S000121)
(S000107, S000121)
(S000168, S000121)
(S000169, S000121)
(S000173, S000121)
(S000176, S000121)
(S000107, S000127)
(S000168, S000127)
(S000169, S000127)
(S000176, S000127)
(S000030, S000128)
(S000032, S000128)
(S000103, S000128)
(S000104, S000128)
(S000107, S000128)
(S000168, S000128)
(S000169, S000128)
(S000173, S000128)
(S000176, S000128)
(S000030, S000132)
(S000030, S000142)
(S000032, S000132)
(S000032, S000142)
(S000103, S000132)
(S000103, S000142)
(S000104, S000132)
(S000104, S000142)
(S000173, S000132)
(S000173, S000142)
(S000074, S000075)
(S000222, S000101)
(S000222, S000020)
(S000222, S000027)
(S000222, S000028)
(S000222, S000033)
(S000222, S000034)
(S000101, S000020)
(S000101, S000027)
(S000101, S000028)
(S000101, S000033)
(S000101, S000034)
(S000102, S000020)
(S000102, S000027)
(S000102, S000028)
(S000102, S000033)
(S000102, S000034)
(S000022, S000155)
(S000157, S000155)
(S000156, S000020)
(S000159, S000042)
(S000042, S000159)
(S000082, S000159)
(S000153, S000038)
(S000196, S000038)
